ROI 1,ROI 2,Strength,x1,y1,z1,x2,y2,z2
'Caudate_Head_L','Postcentral_L',0.1073615774512291,-11.29268293,12.2097561,3.517073171,-57.18579235,-7.032786885,27.77595628
'Postcentral_L','Olfactory',0.07542630285024643,-57.18579235,-7.032786885,27.77595628,-0.482352941,0.294117647,-12.76470588
'Frontal_Mid_Orb_L','Olfactory',0.06956923007965088,-24.82926829,34.34146341,-17.04878049,-0.482352941,0.294117647,-12.76470588
'Cuneus_R','Parietal_Inf_L',0.053447939455509186,16.19526627,-99.93491124,12.07692308,-31.61244019,-51.44976077,41.03827751
'Frontal_Mid_R','Frontal_Inf_Oper_L',0.050481073558330536,47.11111111,26.55555556,37.06666667,-52.48837209,17.81395349,12.93023256
'Calcarine_R','Occipital_Mid_L',0.0484083890914917,3.007168459,-79.95340502,6.806451613,-45.62433862,-80.15343915,4.026455026
'Lingual_R','Lingual_L',0.041415903717279434,21.8,-58.16,0.46,-18.6635514,-75.95327103,-8.831775701
'Occipital_Sup_R','Frontal_Inf_Oper_R',0.03962045907974243,15.33009709,-88.55339806,33.40776699,39.55813953,8.581395349,29.25581395
'SupraMarginal_R','Vermis_6',0.039389826357364655,64.52475248,-25.07920792,24.8019802,0.42081448,-63.98642534,-19.92307692
'Frontal_Inf_Orb_L','Fusiform_R',0.03821197897195816,-19.82840237,9.201183432,-25.15384615,26.46875,-37.828125,-13.28125
